Feature,Label,Domain,Rank
E_MHLTH,"Percentage of individuals reporting not good mental health, 2024",Health,1
Current Lack of Health Insurance,"Age-adjusted prevalence (percentage) of adults 18-64 years who report having no current health insurance coverage, 2021",Health,2
Alcohol Abuse,"Age-adjusted prevalence (percentage) of adults who report having five or more drinks (men) or four or more drinks (women) on an occasion in the past 30 days, 2021",Health,3
Covid-19 Vaccination Rates,"Percentage of people who are fully COVID-19 vaccinated, 2022",Health,4
Proximity to Nursing Homes,"Proximity to nursing homes (count of nursing homes within 5km centroid radius divided by distance in km), 2017",Health,5
E_ASTHMA,"Percentage of individuals with asthma, 2024",Health,6
Proximity to hospitals ,"Proximity to hospitals (5km centroid radius), 2022",Health,7
Child Mortality,"Number of deaths among residents under age 18 per 100,000 population, 2017-2020",Health,8
E_DIABETES,"Percentage of individuals with diabetes, 2024",Health,9
"Drug Overdose Deaths per 100,000 People","Number of drug poisoning deaths per 100,000 population, 2022",Health,10
Tax Base: Median Real Estate Taxes Paid,Estimated median annual real estate taxes paid (USD) between 2015-2019,Socioeconomic,1
Below Poverty,"Percentile ranking of proportion of persons below 150% poverty, 2018",Socioeconomic,2
No Vehicle,"Percentile ranking of proportion of households with no vehicle available, 2018",Socioeconomic,3
Percent of Household with no internet access,"Percentage of household with no internet access, 2013-2017",Socioeconomic,4
Gun Violence,"Firearm fatalities per 100,000 population, 2014-2020",Socioeconomic,5
Homeless Population,"Population-adjusted estimates of homeless population, 2020",Socioeconomic,6
Single-Parent Households,"Percentile ranking of proportion of single-parent households with children under 18 years old, 2018",Socioeconomic,7
Residential Energy Cost Burden,"Low-income energy affordability data (LEAD) estimating average energy burden by income, 2018",Socioeconomic,8
Religious Organizations,"Number of religious organizations per 1,000 people, 2003-2017",Socioeconomic,9
Percent of Housing Units Built Between 1940-1969 as of 2015-2019,Percentage of housing units built between 1940-1969 as of 2015-2019,Socioeconomic,10
Deaths from climate disasters,"Count of total deaths from climate disasters, 1980-present",Environment,1
Brownfields,"Proximity to brownfield sites (5km centroid radius), 2020",Environment,2
Increased PM2.5 mortality - CVD (ages 65+),"Cardiovascular-related mortality due to increased PM2.5 (ages 65+), 2021",Environment,3
E_HOUAGE,"Percentage of houses built before 1980, to estimate potential exposure to lead, 2022",Environment,4
Impermeable Surfaces,"Percent of developed imperviousness, 2021",Environment,5
Risk Management Plan Facilities,"Proximity to Risk Magagement Plan Facilities (5km centroid radius), 2020",Environment,6
Metal Recyclers,"Proximity to Metal Recyling Facilities (5km centroid radius), 2015",Environment,7
Expected Annual Loss - Building Value,"Expected annual loss in building value (USD), 2021",Environment,8
Traffic Proximity and Volume,"Count of vehicles (annual average daily traffic) at major roads within 500 meters, divided by distance in meters, 2019",Environment,9
Chemical Manufacturers,"Proximity to Chemical Manufacturing Facilities (5km centroid radius), 2015",Environment,10
